id_campeonato,nombre_campeonato,nombre_torneo
1117,2° Fecha 2024,Juegos Olimipicos Estudiantiles
1118,3° Fecha 2024,Juegos Olimipicos Estudiantiles
1119,2024 2024,Juegos Olimipicos Estudiantiles
1120,Karsten Brodersen 2024,Karsten Brodersen
1121,1° Fecha 2024,Escolar Nicolás Carvajal
1122,2° Fecha 2024,Escolar Nicolás Carvajal
1123,Campeonato Fenaude Zona Costa 2024,Campeonato Fenaude Zona Costa
1124,Cross Country Invierno 2024,Campeonato Nacional
1125,3° Fecha 2024,Torneo Club Sporting Coquimbo
1126,-,
1127,1° Etapa 2024,Torneo ADECOP
1128,2° Etapa 2024,Torneo ADECOP
1129,4° Etapa 2024,Torneo ADECOP
1130,Orgullo Aconcagua 2024,Orgullo Aconcagua
1131,Control Regional 2024,Región de Atacama
1132,"Torneo Fe, Esperanza y Amor 2024","Torneo Fe, Esperanza y Amor"
1133,1° Control 2024,Juegos Deportivos Escolares - Araucanía
1134,2° Control 2024,Juegos Deportivos Escolares - Araucanía
1135,Regional U14 y Prep Binacional 2024,Juegos Deportivos Escolares - Araucanía
1136,"Copa San Anselmo ""María Gracia Varas"" 2024","Copa San Anselmo ""María Gracia Varas"""
1137,Lanzamientos 2024,Meeting NCT - Talagante
1138,Meeting Atlético Estación Central 2024,Meeting Atlético Estación Central
1139,Preparatorio 2024,Juegos Deportivos Nacionales - Araucanía
1140,Para-Atletismo 2024,Juegos Deportivos Escolares - Araucanía
1141,2° Fecha 2024,Cross Country Escolar UC
1142,Aniversario 40° 2024,Campeonato Club Nilda Rojas
1143,U14 y Juvenil 2024,Juegos Deportivos Escolares - O'Higgins
1144,Adaptado 2024,Juegos Deportivos Escolares - O'Higgins
1148,Damas 2024,Juegos Nacionales Maristas
1149,U14 y Juvenil 2024,Juegos Deportivos Escolares - Valparaíso
1150,U14 y Juvenil Adaptado 2024,Juegos Deportivos Escolares - Valparaíso
1151,Invierno 2024,Región del Bio Bío
1152,"Corre, Salta y Lanza 2024",Torneo Club Atlético O'Higgins
1153,Futuras Promesas en Acción 2024,Futuras Promesas en Acción
1154,Selectivo 2024,Juegos Deportivos Nacionales - Los Rios
1155,Copa Atlética Campanario 2024,Copa Atlética Campanario
1156,Agosto 2024,Meeting UC
1157,Regional U14 2024,Juegos Deportivos Escolares - Ñuble
1158,Regional Adaptado 2024,Juegos Deportivos Escolares - Ñuble
1159,Control de Lanzamientos 2024,Región de Atacama
1160,CODEFEN 2024,Campeonato de Atletismo Interescuelas Matrices - CODEFEN
1162,Regional U14 y Juvenil 2024,Juegos Deportivos Escolares - Los Rios
1163,Los Rios 2024,Selectivo Binacionales La Araucanía
1164,Adaptado U14 y Juvenil 2024,Juegos Deportivos Escolares - Los Rios
1165,U14 y Juvenil 2024,Juegos Deportivos Escolares - Los Lagos
1166,U14 y Juvenil Adaptado 2024,Juegos Deportivos Escolares - Los Lagos
1167,Federado Regional 2024,Región del Bio Bío
1168,Meeting Monte Tabor y Nazaret 2024,Meeting Monte Tabor y Nazaret
1169,1° Fecha Ñuble 2024,Liga Deportiva de Educación Superior RM
1170,3° Etapa 2024,Torneo ADECOP
1171,Preparatorio U16/U18 2024,Región de La Araucanía
